"cluster","DP","group","submission_id","item_id","x_startDP","x_endDP","x_DPDiff"
"1","actually","reliable",2941,106,0,0,0
"1","actually","reliable",2941,112,0,0,0
"1","actually","reliable",2941,137,0,0,0
"1","actually","reliable",2941,141,0,-0.0483024691358025,-0.0483024691358025
"1","actually","reliable",2949,108,-0.0147874306839187,-0.022181146025878,-0.00739371534195933
"1","actually","reliable",2949,111,0.0255577557755776,0.0336633663366337,0.00810561056105611
"1","actually","reliable",2949,115,0,0,0
"1","actually","reliable",2949,123,-0.00196277495769882,0.137055837563452,0.139018612521151
"1","actually","reliable",2949,126,-0.0167682926829268,-0.0106707317073171,0.00609756097560976
"1","actually","reliable",2949,133,0,0,0
"1","actually","reliable",2949,138,0,0,0
"1","actually","reliable",2949,142,-0.0107519640852974,-0.0235690235690236,-0.0128170594837261
"1","actually","reliable",2949,144,0,0,0
"1","actually","reliable",2949,145,0,0,0
"1","actually","reliable",2949,149,0.0253333333333333,0.04,0.0146666666666667
"1","actually","reliable",2949,150,0.0754039497307002,0.0754039497307002,0
"1","actually","reliable",2949,151,0,0,0
"1","actually","reliable",2949,155,0,0,0
"1","actually","reliable",2949,158,0,0,0
"1","actually","reliable",2949,159,0.0154798761609907,0.00928792569659443,-0.00619195046439629
"1","actually","reliable",2953,101,0,0.00716845878136201,0.00716845878136201
"1","actually","reliable",2953,106,0,-0.470824949698189,-0.470824949698189
"1","actually","reliable",2953,108,0,0,0
"1","actually","reliable",2953,109,0.00359712230215827,0.00539568345323741,0.00179856115107914
"1","actually","reliable",2953,114,0,0,0
"1","actually","reliable",2953,119,0,0.00831946755407654,0.00831946755407654
"1","actually","reliable",2953,124,0,0,0
"1","actually","reliable",2953,125,0,0,0
"1","actually","reliable",2953,131,0,-0.46448087431694,-0.46448087431694
"1","actually","reliable",2953,136,0,0,0
"1","actually","reliable",2953,140,0,0,0
"1","actually","reliable",2953,148,0,0,0
"1","actually","reliable",2953,151,0,0,0
"1","actually","reliable",2953,156,0,0,0
