stimulus,onset,offset,adverb_onset,referent_onset,duration,adverb_onset_rel,referent_onset_rel,rerecorded
e_stinktier,578.937,581.143,579.202,580.502,2.206,0.315,1.615,
e_teppich,521.649,523.704,521.912,523.066,2.055,0.313,1.467,
e_topf,355.134,357.01,355.362,356.429,1.876,0.278,1.345,
e_truthahn,534.052,536.335,534.319,535.595,2.283,0.317,1.593,
e_tuba,822.721,824.754,822.98,824.185,2.033,0.309,1.514,
e_tucan,561.2,563.361,561.455,562.759,2.161,0.305,1.609,
e_usbstick,383.836,386.097,384.113,385.11,2.261,0.327,1.324,
e_volleyball,628.335,630.618,628.632,630.016,2.283,0.347,1.731,
e_walkman,510.019,512.154,510.285,511.494,2.135,0.316,1.525,
e_waschbaer,46.499,48.492,46.705,47.852,1.993,0.256,1.403,
e_waschbecken,743.441,745.512,743.71,744.893,2.071,0.319,1.502,
e_windrad,734.899,737.092,735.184,736.397,2.193,0.335,1.548,
e_wischmob,478.001,480.098,478.268,479.418,2.097,0.317,1.467,
e_wollknaeul,459.047,461.138,459.252,460.353,2.091,0.255,1.356,
e_zahnstocher,472.919,475.231,473.179,474.318,2.312,0.31,1.449,
f_affe,907.754,909.075,,,1.321,,,
f_affe,84.532,85.744,,,1.212,,,
f_artischoke,1043.058,1045.36,,,2.302,,,
f_baer,888.095,890.148,,,2.053,,,
f_bienenwabe,1012.872,1014.245,,,1.373,,,
f_boot,1034.201,1035.791,,,1.59,,,
f_boxhandschuh,990.158,991.421,,,1.263,,,
f_bulldozer,1141.618,1142.806,,,1.188,,,
f_cello,1001.054,1002.978,,,1.924,,,
f_clownfisch,901.017,902.242,,,1.225,,,
f_dreirad,952.382,953.562,,,1.18,,,
f_elch,878.209,879.838,,,1.629,,,
f_fisch,75.593,77.388,,,1.795,,,
f_frisbee,955.268,956.294,,,1.026,,,
f_gemaelde,1060.777,1062.373,,,1.596,,,
f_gepard,93.303,95.102,,,1.799,,,
f_geschenk,1147.594,1148.952,,,1.358,,,
f_gitarre,1101.658,1102.958,,,1.3,,,
f_harke,1108.33,1109.666,,,1.336,,,
f_hochzeitskuchen,1050.855,1052.747,,,1.892,,,
f_kakteen,957.814,959.994,,,2.18,,,
f_kistewiederverwerten,1038.726,1040.74,,,2.014,,,
f_klingel,1091.548,1092.634,,,1.086,,,
f_klobuerste,963.967,965.269,,,1.302,,,
f_leuchtturm,1005.179,1006.282,,,1.103,,,
f_lieferwagen,1087.614,1089.513,,,1.899,,,
f_lokomotive,1117.377,1119.054,,,1.677,,,
f_marienkaefer,881.188,883.474,,,2.286,,,
f_messerfisch,1151.105,1153.208,,,2.103,,,
f_murmel,1030.341,1031.592,,,1.251,,,
f_narzisse,1026.918,1028.355,,,1.437,,,
f_nyala,928.642,930.553,,,1.911,,,
f_pfau,912.505,913.468,,,0.963,,,
f_pfeilschwanzkrebs,938.045,941.309,,,3.264,,,
f_pinguin,895.112,896.077,,,0.965,,,
f_piratenflagge,943.626,946.101,,,2.475,,,
f_radkappe,1065.364,1066.499,,,1.135,,,
f_rasenm‰her,971.438,973.054,,,1.616,,,
f_rohrzange,1124.764,1125.92,,,1.156,,,
f_s¸ﬂerwal,924.96,926.409,,,1.449,,,
f_schnabeltier,885.33,886.545,,,1.215,,,
f_schulbus,974.915,976.422,,,1.507,,,
f_schweizertaschenmesser,100.179,102.181,,,2.002,,,
f_servierte,1095.018,1096.671,,,1.653,,,
f_snowboard,1121.401,1122.706,,,1.305,,,
f_sonnenschirm,1111.538,1112.992,,,1.454,,,
f_springerschach,1068.815,1070.206,,,1.391,,,
f_staubsauger,1055.254,1056.639,,,1.385,,,
f_stuhl,994.031,995.666,,,1.635,,,
f_tintenfisch,875.558,876.754,,,1.196,,,
f_trophaee,1138.385,1140.265,,,1.88,,,
f_waffeleisen,1105.655,1106.834,,,1.179,,,
f_wagenrad,1020.766,1022.472,,,1.706,,,
f_wal,903.471,904.862,,,1.391,,,
f_walkietalkie,1160.851,1162.614,,,1.763,,,
f_wasserhahn,1144.148,1145.506,,,1.358,,,
f_wetterfahne,978.278,979.837,,,1.559,,,
f_windsurfbrett,1127.901,1129.791,,,1.89,,,
f_zauberwuerfel,1023.874,1025.17,,,1.296,,,
f_zeichen,948.161,950.56,,,2.399,,,
f_zement,997.525,999.148,,,1.623,,,
t_adler,98.513,100.423,98.746,99.941,1.91,0.283,1.478,
t_affe,107.331,109.156,107.589,108.767,1.825,0.308,1.486,
t_ameise,57.135,59.083,57.36,58.547,1.948,0.275,1.462,
t_autoschluessel,96.77,98.926,97.012,98.201,2.156,0.292,1.481,
t_basketball,169.006,171.074,169.26,170.392,2.068,0.304,1.436,
t_besen,161.798,163.519,162.031,163.147,1.721,0.283,1.399,
t_bett,188.813,190.621,189.067,190.238,1.808,0.304,1.475,
t_blumenkohl,171.137,173.138,171.35,172.426,2.001,0.263,1.339,
t_boot,300.194,301.978,300.453,301.621,1.784,0.309,1.477,
t_briefkasten,204.054,206.171,204.313,205.419,2.117,0.309,1.415,
t_bueroklammer,128.628,130.754,128.923,130.006,2.126,0.345,1.428,
t_bus,152.863,154.735,153.142,154.333,1.872,0.329,1.52,
t_donut,176.443,178.299,176.693,177.811,1.856,0.3,1.418,
t_eichhoernchen,123.147,125.357,123.397,124.548,2.21,0.3,1.451,
t_elektrorasierer,109.185,111.487,109.369,110.559,2.302,0.234,1.424,
t_ente,115.237,117.176,115.5,116.687,1.939,0.313,1.5,
t_fueller,245.53,247.302,245.759,246.529,1.772,0.279,1.049,
t_fahrrad,148.384,150.361,148.655,149.789,1.977,0.321,1.455,
t_fensterabzieher,103.692,106.002,103.891,105.052,2.31,0.249,1.41,
t_fingerhut,208.855,210.736,209.07,210.119,1.881,0.265,1.314,
t_flamingo,90.725,92.821,91.006,92.215,2.096,0.331,1.54,
t_flaschenoeffner,132.753,134.892,132.988,134.082,2.139,0.285,1.379,
t_flaschewein,185.047,187.141,185.298,186.404,2.094,0.301,1.407,
t_floete,308.807,310.619,309.063,310.127,1.812,0.306,1.37,
t_flugzeug,195.921,198.046,196.191,197.337,2.125,0.32,1.466,
t_fuchs,83.892,85.788,84.156,85.322,1.896,0.314,1.48,
t_fussball,172.882,174.835,173.139,174.253,1.953,0.307,1.421,
t_garderobe,318.036,319.976,318.276,319.369,1.94,0.29,1.383,
t_garnele,127.094,129.047,127.319,128.491,1.953,0.275,1.447,
t_gecko,131.309,133.128,131.561,132.733,1.819,0.302,1.474,
t_guertel,263.768,265.753,264.045,265.281,1.985,0.327,1.563,
t_gummistiefel,212.305,214.413,212.548,213.668,2.108,0.293,1.413,
t_hai,94.672,96.582,94.941,96.179,1.91,0.319,1.557,
t_handmixer,280.893,283.023,281.14,282.288,2.13,0.297,1.445,
t_himbeere,228.254,230.017,228.42,229.486,1.763,0.216,1.282,
t_huhn,64.59,66.367,64.856,66.009,1.777,0.316,1.469,
t_hut,219.597,221.364,219.844,220.984,1.767,0.297,1.437,
t_jeans,227.365,229.291,227.612,228.719,1.926,0.297,1.404,
t_kabel,331.424,333.24,331.674,332.745,1.816,0.3,1.371,
t_kerze,153.134,154.935,153.322,154.434,1.801,0.238,1.35,
t_kiwi,175.847,177.623,176.032,177.15,1.776,0.235,1.353,
t_klappstuhl,243.808,245.73,244.06,245.132,1.922,0.302,1.374,
t_klemmbrett,294.955,296.948,295.216,296.332,1.993,0.311,1.427,
