"DP","group","submission_id","item_id","block","trialNumber","xpos_mean","xpos_side","xpos_side_num"
"actually","reliable",2953,146,4,47,-0.0969514566389936,"competitor",0
"actually","reliable",2953,148,10,117,0,"competitor",0
"actually","reliable",2953,151,10,116,0,"competitor",0
"actually","reliable",2953,152,5,48,0.0306206993940639,"target",1
"actually","reliable",2953,156,5,57,0,"competitor",0
"actually","reliable",2953,157,7,82,0,"competitor",0
"actually","reliable",2953,159,8,92,0.0247524234919193,"target",1
"actually","reliable",2958,106,2,21,0.11533153634042,"target",1
"actually","reliable",2958,107,3,35,0.00116959064327485,"target",1
"actually","reliable",2958,108,3,26,0.271516276041667,"target",1
"actually","reliable",2958,111,10,109,-0.000482388436710637,"competitor",0
"actually","reliable",2958,114,8,93,0,"competitor",0
"actually","reliable",2958,115,6,68,0.0381831092442356,"target",1
"actually","reliable",2958,116,8,83,0.00706171559166115,"target",1
"actually","reliable",2958,120,4,44,0.00316957210776545,"target",1
"actually","reliable",2958,121,1,1,0,"competitor",0
"actually","reliable",2958,123,3,24,0.119484266983731,"target",1
"actually","reliable",2958,124,7,73,0,"competitor",0
"actually","reliable",2958,127,7,75,0.00285214814860491,"target",1
"actually","reliable",2958,128,9,98,0,"competitor",0
"actually","reliable",2958,129,1,4,0.00677083333333333,"target",1
"actually","reliable",2958,130,9,104,0.00252191816744984,"target",1
"actually","reliable",2958,133,1,6,0.0910187242145351,"target",1
"actually","reliable",2958,136,2,23,-0.00394477317554241,"competitor",0
"actually","reliable",2958,138,5,55,-0.00532227387996619,"competitor",0
"actually","reliable",2958,142,2,19,0,"competitor",0
"actually","reliable",2958,147,10,116,0,"competitor",0
"actually","reliable",2958,149,8,91,-0.00189121899837212,"competitor",0
"actually","reliable",2958,151,10,117,0.00169397470720523,"target",1
"actually","reliable",2958,152,5,53,0,"competitor",0
"actually","reliable",2958,160,5,56,0,"competitor",0
"actually","reliable",2959,102,4,39,0,"competitor",0
"actually","reliable",2959,106,7,77,0.000298903586987442,"target",1
"actually","reliable",2959,108,5,56,0.0634438010646542,"target",1
"actually","reliable",2959,110,2,22,0,"competitor",0
"actually","reliable",2959,111,10,109,0.0346898406101571,"target",1
"actually","reliable",2959,112,10,115,0.0148615253059697,"target",1
"actually","reliable",2959,113,3,24,0,"competitor",0
"actually","reliable",2959,114,6,71,0.354917731741165,"target",1
"actually","reliable",2959,116,3,27,0,"competitor",0
"actually","reliable",2959,117,8,93,0,"competitor",0
"actually","reliable",2959,120,6,62,0.0571062271062271,"target",1
"actually","reliable",2959,121,8,92,0,"competitor",0
"actually","reliable",2959,123,4,47,0.127004518705338,"target",1
"actually","reliable",2959,124,1,0,0,"competitor",0
"actually","reliable",2959,126,7,80,0.000108948374295487,"target",1
"actually","reliable",2959,127,2,12,0.00797062732042799,"target",1
"actually","reliable",2959,129,9,103,0.0711264721789905,"target",1
"actually","reliable",2959,133,1,11,0.155525384119011,"target",1
"actually","reliable",2959,135,5,59,0.0432659718037077,"target",1
"actually","reliable",2959,136,7,78,0,"competitor",0
"actually","reliable",2959,137,6,60,0,"competitor",0
"actually","reliable",2959,138,3,32,0.0631771648976277,"target",1
"actually","reliable",2959,143,5,48,0.0107458343532773,"target",1
"actually","reliable",2959,144,2,20,-0.00129198966408269,"competitor",0
"actually","reliable",2959,146,9,96,0.0201573580447711,"target",1
"actually","reliable",2959,148,1,2,-0.00128205128205128,"competitor",0
"actually","reliable",2959,150,9,105,0,"competitor",0
"actually","reliable",2959,151,8,84,-0.00666577218995064,"competitor",0
"actually","reliable",2959,153,4,46,0.122714257503949,"target",1
"actually","reliable",2959,158,10,110,0.00323555293434811,"target",1
"actually","reliable",2976,101,10,116,-0.0116993110550046,"competitor",0
"actually","reliable",2976,103,5,48,0,"competitor",0
"actually","reliable",2976,105,2,16,0.0116278113564409,"target",1
"actually","reliable",2976,108,2,14,0,"competitor",0
"actually","reliable",2976,109,8,86,0.00731261425959781,"target",1
"actually","reliable",2976,112,8,93,0.00506756756756757,"target",1
"actually","reliable",2976,118,6,64,0.00182025072077428,"target",1
"actually","reliable",2976,120,5,57,0.000994906919564454,"target",1
"actually","reliable",2976,121,9,106,-0.00636697489252949,"competitor",0
"actually","reliable",2976,122,7,82,-0.00850972964943553,"competitor",0
"actually","reliable",2976,124,1,6,0,"competitor",0
